k,fold,train_error,test_error,train_accuracy,test_accuracy,low_precision,low_recall,moderate_precision,moderate_recall,high_precision,high_recall,count,sum
1,42.47457627118644,0.0,427.38792264335547,1.0,0.8088197417440447,0.8489317139125051,0.8132479856321895,0.0,0.0,0.7244790438517041,0.7398579563706644,55981.42372881356,4117125.0
2,42.47457627118644,279.3657892306991,389.49671524619794,0.9134642029547096,0.8231840608229716,0.8317405155429523,0.8402121062577256,0.0,0.0,0.7777005547221221,0.76860240102185,55981.42372881356,4117125.0
3,42.47457627118644,328.66121666938614,367.16403385962985,0.8963637909992405,0.8415459245072826,0.8185752226904792,0.8747331934368833,0.0,0.0,0.8154817640321842,0.7603329415224653,55981.42372881356,4117125.0
4,42.47457627118644,328.84955995068674,364.7952778412088,0.8954370115401832,0.8442997808439808,0.8155490225884023,0.8849895704144796,0.0,0.0,0.8119088975203429,0.7557924131529248,55981.42372881356,4117125.0
5,42.47457627118644,341.1116205562478,374.5865559046894,0.8907387829624872,0.8489579072452332,0.8182541858997805,0.8886228374431072,0.0,0.0,0.8210130926072586,0.7593032043324114,55981.42372881356,4117125.0
6,42.47457627118644,352.10570389028743,370.22874480056436,0.8877460829126073,0.8453473237100441,0.8180901657098586,0.8834046729334974,0.0,0.0,0.8054376807851946,0.7454914675209682,55981.42372881356,4117125.0
7,42.47457627118644,350.86251660300593,368.3618279978768,0.8829987525983873,0.8510199986116196,0.8232487259639498,0.8857289426303608,0.0,0.0,0.81136766884944,0.7559294376784511,55981.42372881356,4117125.0
8,42.47457627118644,353.8672059933652,368.40828383748817,0.8828704742606486,0.847937504661594,0.8106540876666838,0.8912490744310408,0.0,0.0,0.8262160074745818,0.7480537661816509,55981.42372881356,4117125.0
9,42.47457627118644,353.4282854298795,370.12854027186745,0.8827328729845116,0.8514283099841488,0.8085508619876267,0.8985884369418171,0.0,0.0,0.8214324673620328,0.7330452605450742,55981.42372881356,4117125.0
10,42.47457627118644,352.4616712501413,368.3793710007593,0.8811133331983865,0.8488652781749935,0.8070147999207448,0.8954742327996013,0.0,0.0,0.8170164371411972,0.7485767551458358,55981.42372881356,4117125.0
11,42.47457627118644,349.42031150402283,368.8878377297639,0.880430425994388,0.8457001805030265,0.8002126633051805,0.8977257577599591,0.0,0.0,0.8229102961470878,0.7260923887481294,55981.42372881356,4117125.0
12,42.47457627118644,342.1988917786101,371.1860472909077,0.8808021270738788,0.8456544139727987,0.7968475631669283,0.9010973361412001,0.0,0.0,0.8304219287379996,0.7249647933686066,55981.42372881356,4117125.0
13,42.47457627118644,348.3796072320771,371.500354885614,0.8763543960982303,0.8454795997618877,0.796304178780199,0.9022891871054717,0.0,0.0,0.8287676861422627,0.7324925426648743,55981.42372881356,4117125.0
14,42.47457627118644,358.62604044178215,371.4915184799235,0.8723235416306354,0.8449721404257122,0.7946172965121016,0.9034742092938112,0.0,0.0,0.8290590795542054,0.7401693134793222,55981.42372881356,4117125.0
15,42.47457627118644,362.61396994632696,372.19809393410185,0.8701295767321121,0.8450058134998504,0.7953808697013154,0.9036885633446379,0.0,0.0,0.8282076182602913,0.7342317458143379,55981.42372881356,4117125.0
16,42.47457627118644,364.1657358092781,374.6469201070585,0.8697824201457118,0.8451715545424586,0.7970821691870215,0.9019509248812806,0.0,0.0,0.8265040540268352,0.7232177363180062,55981.42372881356,4117125.0
17,42.47457627118644,366.1040685711437,378.0045014225434,0.8692075537545282,0.8443476473897383,0.7950214237194378,0.9029720149286917,0.0,0.0,0.8261422822622486,0.7222469216962801,55981.42372881356,4117125.0
18,42.47457627118644,368.66814306508144,379.53208963514055,0.8676123755105005,0.8432467117790878,0.792456991137232,0.9019430878151127,0.0,0.0,0.8259388762399368,0.7284207837255083,55981.42372881356,4117125.0
19,42.47457627118644,374.13246378408786,381.705675595192,0.86663328577673,0.8438638897035932,0.7947450193259799,0.9011520020818219,0.0,0.0,0.826608328078937,0.7328323011746771,55981.42372881356,4117125.0
20,42.47457627118644,377.2196632387254,382.1319658368731,0.8655024685449096,0.8425735874905258,0.7935206311750631,0.9000984541278829,0.0,0.0,0.8233818477621453,0.7198793034439991,55981.42372881356,4117125.0
21,42.47457627118644,382.5199266340183,382.6612947916314,0.8646532637029447,0.8428861514854387,0.7938070407159185,0.901012363622794,0.0,0.0,0.8236035902949084,0.7282776912320029,55981.42372881356,4117125.0
22,42.47457627118644,387.8097955280579,383.54772517289376,0.8640059854449456,0.8427463659668636,0.7946474958695832,0.8999685373189962,0.0,0.0,0.8210714461200422,0.7200372526202055,55981.42372881356,4117125.0
23,42.47457627118644,390.5855572691918,381.82818861645626,0.8637469966734196,0.8446479789901318,0.793508343165945,0.9043844608805569,0.0,0.0,0.8255291365628306,0.7364869937136279,55981.42372881356,4117125.0
24,42.47457627118644,392.5767668318172,381.3824075409281,0.8633058098696188,0.8445880673769087,0.7928959916991445,0.9051069634035647,0.0,0.0,0.8283515407965936,0.7313559782358231,55981.42372881356,4117125.0
25,42.47457627118644,394.20250439033043,381.3603318850381,0.8626550109220869,0.8436755939109701,0.7883063289365492,0.907915961099451,0.0,0.0,0.8304530529042642,0.744456313573714,55981.42372881356,4117125.0
26,42.47457627118644,394.82506861085665,382.32088660223906,0.8622858276431972,0.8417244295730151,0.7861829795978398,0.9065974619473155,0.0,0.0,0.8245539796624949,0.740980162067861,55981.42372881356,4117125.0
27,42.47457627118644,394.57615574679613,383.7522922937923,0.8619364553350043,0.8413512648365353,0.7827906433699163,0.9089096036663232,0.0,0.0,0.8285707163796687,0.7411690035901602,55981.42372881356,4117125.0
28,42.47457627118644,394.25136887209624,383.75000532331273,0.8615988061187088,0.8404501003939856,0.7813170019189817,0.9088751485473457,0.0,0.0,0.8284301987954081,0.7412888776254528,55981.42372881356,4117125.0
29,42.47457627118644,393.9429196399621,383.241654640538,0.8613428777168652,0.8400553005210352,0.7801794275612489,0.9089519863243286,0.0,0.0,0.8293340445809614,0.7400671923456575,55981.42372881356,4117125.0
30,42.47457627118644,394.9830783146836,381.28478701634043,0.8609108124127803,0.8393830056431771,0.779651157198546,0.9085446694025131,0.0,0.0,0.8262866215596841,0.7343066299567327,55981.42372881356,4117125.0
